sent1	sent2	actual
vector space representation results in the loss of the order which the terms are in the document.	if a term occurs in the document, the value will be non zero in the vector.	1
inheritance in object oriented programming is a way to form new classes using classes that have already been defined.	the purpose of inheritance in object oriented programming is to minimize the reuse of existing code without modification.	1
to explain further vector space models, basically a document is characterized by a vector.	a document is represented as a vector.	5
bayes theorem was names after rev thomas bayes and is a method used in probability theory.	as an official theorem, bayes theorem is valid in all universal interpretations of probability.	3
if a term appears in the document then its value in the vector is non zero.	a document is represented as a vector and each dimension corresponds to a separate term.	2
 p(a|b) is the conditional probability of a, given b.	 p(b|a) is the conditional probability of b given a.	3
the differing application has a direct influence on what the definition of the term means.	the way that a term is defined depends on the application.	5
thus, the program is the optimal plan of action that is being produced.	thus, the program is the optimal plan for action that is produced.	5
thus, the program is the optimal plan for action that is produced.	therefore, the program is the optimal plan for action that is produced.	5
one of the best known schemes is tf idf weighting (see the example below).	one of the best known methods is called tf idf weighting.	4
it is previous in the sense that it does not take into account any information about b.	it does not take into account any information about b and therefore is considered prior.	3
the algebraic model for representing text documents and objects as vectors of identifiers is called the vector space model.	a possible use for a vector space model is for retrieval and filtering of information.	1
secondly to define the value of the optimal solution recursively.	generalise the structure of an optimal solution 2.	1
there are two main approaches for dynamic programming.	there are four steps in dynamic programming: 1.	1
p(a), or the probability that the student is a girl regardless of any other information.	it is mainly used to calculate the probability of one event outcome given that a previous event happened.	1
for instance, a events schedule at an exhibition is sometimes called a program.	for instance, a finalized schedule of events at an exhibition is sometimes called a program.	4
this can be useful when the number of times a word appears is not considered important.	one of the most important uses of page rank is its meaning to advertising.	0
define value of optimal solution recursively.	characterise structure of an optimal solution.	4
it was first used in the smart information retrieval system.	it is used in information retrieval and was first used in the smart information retrieval system.	4
in vector space model, the documents from which the information is to be retrieved are represented as vectors.	the vector space model has several disadvantages.	1
a term which occurs in the document has a value in the vector of non zero.	the order in which the terms appear in the document is lost in the vector space representation.	1
vector space representation results in the loss of the order which the terms are in the document.	in the vector space model a document is represented as a vector.	1
the easiest way to look at inheritance is as an ...is a kind of relationship.	an example of this gain in efficiency is a path finding problem.	0
if a term exists in a document, its value in the vector is not equal to zero.	a document is represented as a vector, with each dimension corresponding to a separate term.	2
vector space representation results in the loss of the order which the terms are in the document.	since the pagerank is the most important algorithms which is used in the google engine.	0
a document is represented as a vector, with each dimension corresponding to a separate term.	the basic idea is to represent each document as a vector of certain weighted word frequencies.	2
thus, the program is the optimal plan for action that is produced.	after this, it is using this to pick the best overall path.	0
a document is represented as a vector.	the vector space model are the documents which are represented as bags of words.	2
the value of a vector is non zero if a term occurs in the document.	a term which occurs in the document has a value in the vector of non zero.	4
a page that is linked to by many pages with high pagerank receives a high rank itself.	a link to a page is seen as a vote of support.	1
several different ways of computing these values, also known as (term) weights, have been developed.	other ways of computing these values, or weights, have been developed.	4
a document is represented as a vector, with each dimension corresponding to a separate term.	the value of a vector is non zero if a term occurs in the document.	2
p(b) (a.k.a. the normalizing constant) is the prior or marginal probability of b.	p(b) is the prior or marginal probability of b, and acts as a normalizing constant.	5
the pagerank is computed iteratively, and it is found that the pagerank values converge fairly rapidly.	the pagerank depends on the pagerank rating and number of all pages that have links to it.	1
in general, we can solve a problem with optimal substructure using a three step process: 1.	in a word, we can solve a problem with optimal substructure using a three step process.	5
in the vector space model a document is represented as a vector.	a possible use for a vector space model is for retrieval and filtering of information.	1
one of its uses is calculating posterior probabilities given observations.	it is usually used to calculate posterior probabilities given observations.	5
if a term appears in the document, the terms value in the vector is non zero.	each item in the vector represents a different keyword.	1
finally, the order in which the terms appear in the document is lost in the vector space representation.	a term which occurs in the document has a value in the vector of non zero.	1
several different ways of computing these values, also known as (term) weights, have been developed.	many different ways of calculating these values, also known as (term) weights, have been developed.	4
